house_id,self_consumption [%],self_sufficiency [%],total_house_load [kWh],total_ev_load [kWh],total_combined_load [kWh],total_generation [kWh],total_self_consumed [kWh],ev_percentage [%]
73,29.23382409017343,20.721295388547123,10320.694666666666,3418.955999997667,13739.650666664333,9738.833999999999,2847.0335999940003,24.883864102111918
82,30.842347063369846,20.62645510331524,6967.954666666666,3329.8055555536666,10297.760222220333,6886.839333333333,2124.062888883333,32.33524070961245
141,39.30180405416654,18.862017065646786,8487.670666666667,3110.209955554333,11597.880622220999,5566.142,2187.5942222166664,26.817054398674493
