house_id,self_consumption [%],self_sufficiency [%],total_load [kWh],total_generation [kWh],total_self_consumed [kWh]
2,40.11353749580292,11.953666024791222,29663.128666663,8839.488000000001,3545.831333317
73,29.23382409017343,20.721295388547123,41218.951999993,29216.501999999997,8541.100799982001
74,23.164012392404196,25.01139618761354,59696.71806666,64457.67,14930.982666655002
109,38.59279734771011,21.19767544452906,40642.151333327005,22323.314,8615.191333313
141,39.30180405416654,18.862017065646786,34793.641866663,16698.426,6562.78266665
