,Summer (Dec-Feb),Winter (Jun-Aug)
Total House Load (kWh),1192.6786666666667,2696.7219999999998
Total EV Load (kWh),517.1933333333334,636.9095111106667
Total Combined Load (kWh),1709.8719999999996,3333.631511110667
Total Generation (kWh),1966.533333333333,1271.932
Average Daily House Load (kWh),7.846570175438597,10.63096714848883
Average Daily EV Load (kWh),3.402587719298246,2.5108127901865966
Average Daily Total Load (kWh),11.249157894736841,13.141779938675429
Average Daily Generation (kWh),12.937719298245614,5.014186596583444
Self-Consumption (%),26.93058286432979,34.35120745446035
Self-Sufficiency (%),30.973013704417646,13.106547575622615
EV Load Percentage (%),30.24748831101588,19.105576275839418
Days with Excess Generation,36.0,7.0
